hblock,streetuse,length,RackDist,InterDist,BikewayDis,ParkDist,StationDis,BusDist,SignalDist,Population,Pop_employ,Empl_rate,Bike_Commu,age_avg,age_median,area,Pop_densit,Arterial,Collector,Residentia,SecArteria,NUM_Thefts,NUM_racks,NUM_parkin,NUM_statio,NUM_bus,NUM_inters,NUM_signal,CompDev,Commercial,Industrial,MultiRes,OneRes,TwoRes
100 E 5TH AV,Residential,87.518,51.889,43.759,29.169,68.055,758.92,97.568,102.096,32955,22760,77.9,2520,38.3,35.5,3723543.6529631615,0.00885044008381,0,0,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0
1900 COMOX ST,Residential,140.684,156.587,70.342,0.0,122.992,1667.378,226.624,231.386,47200,27350,71.1,2570,42.8,38.4,2257987.747623282,0.020903567811509,0,0,1,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0
3400-3500 DIEPPE DRIVE,Residential,183.62,1654.969,91.81,236.096,2184.079,1071.697,198.732,230.193,51530,27425,61.0,370,41.2,40.0,8106850.399999439,0.006356352647139,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
6600-6700 ASH ST,Residential,49.702,193.91,24.851,115.983,1952.891,198.866,135.156,168.3,13030,5405,47.2,70,44.3,45.1,4026970.0669390145,0.003235683350858,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
500 W 59TH AV,Residential,68.574,788.122,34.287,0.0,1842.499,822.741,53.762,34.287,24460,17765,60.4,755,41.9,42.2,6007639.575359696,0.004071482600308,0,0,1,0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,0,1,0
5000 YEW ST,Residential,54.829,352.062,27.415,0.001,325.775,3126.543,166.046,292.191,15295,6320,48.4,205,44.6,46.2,3703560.327458601,0.004129809871491,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
3000 E 15TH AV,Residential,184.928,396.044,15.948,348.865,2050.337,401.38,216.947,214.985,51530,27425,61.0,370,41.2,40.0,8106850.399999439,0.006356352647139,0,0,1,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
1800 BARCLAY ST,Residential,160.94,82.457,80.47,110.014,74.957,1435.912,79.401,80.47,47200,27350,71.1,2570,42.8,38.4,2257987.747623282,0.020903567811509,0,0,1,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0
1600 E 32ND AV,Residential,49.364,480.129,24.682,195.946,1575.927,1336.931,162.942,165.635,49325,12450,58.2,295,40.0,38.8,7258248.7473673215,0.006795716393419,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
2300 STEPHENS ST,Residential,48.837,167.841,24.418,96.008,131.272,3388.316,146.034,168.162,43045,15080,57.0,110,40.6,37.7,6367985.032080911,0.006759595034088,0,0,1,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1
